Gene			mutation freqency in human	# of mutation in dog
ZBTB45	2	109	0.018348624	0
BID_ENST00000317361	1	109	0.009174312	0
PDIA6	1	109	0.009174312	0
C1orf201	2	109	0.018348624	0
PDIA2	1	109	0.009174312	0
TMEM196_ENST00000405764	1	109	0.009174312	0
ARMC4	1	109	0.009174312	0
ARMC1	1	109	0.009174312	0
CD163	1	109	0.009174312	0
AARS	1	109	0.009174312	0
TTC21A	2	109	0.018348624	0
KIAA1958_ENST00000374244	2	109	0.018348624	0
GDNF	1	109	0.009174312	0
ACTL6B	2	109	0.018348624	0
SPATA2	3	109	0.027522936	0
SPATA7	1	109	0.009174312	0
C5orf51	1	109	0.009174312	0
HIST1H4C	1	109	0.009174312	0
HSPA2	1	109	0.009174312	0
HIST1H4G	1	109	0.009174312	0
HSPA6	2	109	0.018348624	0
HIST1H4D	2	109	0.018348624	0
HSPA9	1	109	0.009174312	0
OR10T2	1	109	0.009174312	0
HIST1H4L	2	109	0.018348624	0
PIK3CA_ENST00000263967	35	119	0.294117647	0
ZIK1	1	109	0.009174312	0
ITPKC	1	109	0.009174312	0
CRBN	1	109	0.009174312	0
CYLC1_ENST00000329312	1	109	0.009174312	0
SYTL1_ENST00000543823	1	109	0.009174312	0
IRX1	1	109	0.009174312	0
ZDHHC19	1	109	0.009174312	0
KCNF1	2	109	0.018348624	0
CRB2	2	109	0.018348624	0
SH2D5_ENST00000444387	1	109	0.009174312	0
ATP2B2_ENST00000360273	1	109	0.009174312	0
PDE2A_ENST00000544570	1	109	0.009174312	0
KCNIP4_ENST00000382152	1	109	0.009174312	0
TSTA3	1	109	0.009174312	0
C10orf27	2	109	0.018348624	0
ABL2_ENST00000512653	2	109	0.018348624	0
FAM158A	1	109	0.009174312	0
MFSD10	1	109	0.009174312	0
GTF3C1	1	109	0.009174312	0
EPHA1_ENST00000275815	1	109	0.009174312	0
GTF3C5	3	109	0.027522936	0
APOA5	2	109	0.018348624	0
IQSEC3	2	109	0.018348624	0
OR5D14	2	109	0.018348624	0
LOC652153	3	109	0.027522936	0
MYPN	1	109	0.009174312	0
FAM123C	1	109	0.009174312	0
FAM123A	1	109	0.009174312	0
SOLH	1	109	0.009174312	0
CASKIN1_ENST00000382453	1	109	0.009174312	0
GART	2	109	0.018348624	0
ZEB2	1	109	0.009174312	0
SFT2D2	2	109	0.018348624	0
TOP1	1	109	0.009174312	0
C22orf28	2	109	0.018348624	0
C22orf29	1	109	0.009174312	0
GIT2	1	109	0.009174312	0
TMEM199	2	109	0.018348624	0
C22orf23	1	109	0.009174312	0
C16orf62_ENST00000538853	2	109	0.018348624	0
FOXC2	1	109	0.009174312	0
DCST1	1	109	0.009174312	0
AIRE_ENST00000397994	2	109	0.018348624	0
SHROOM3	3	109	0.027522936	0
SHROOM2	1	109	0.009174312	0
MIOX	2	109	0.018348624	0
Q7Z2S2_HUMAN	1	109	0.009174312	0
SHROOM4	2	109	0.018348624	0
TACC2_ENST00000453444	2	109	0.018348624	0
ATRNL1	1	109	0.009174312	0
C12orf24	2	109	0.018348624	0
C3orf19	1	109	0.009174312	0
CDK10_ENST00000353379	1	109	0.009174312	0
CEP112_ENST00000392769	2	109	0.018348624	0
DBNDD1	1	109	0.009174312	0
MYEOV	1	109	0.009174312	0
AKNAD1	1	109	0.009174312	0
CDC42BPA_ENST00000366766	3	109	0.027522936	0
GFER	1	109	0.009174312	0
FLT1_ENST00000539099	1	109	0.009174312	0
SP100_ENST00000341950	1	109	0.009174312	0
BDKRB1	1	109	0.009174312	0
BDKRB2	2	109	0.018348624	0
ADARB2	1	109	0.009174312	0
SECTM1	1	109	0.009174312	0
CXXC1	1	109	0.009174312	0
CDKL1_ENST00000395834	2	109	0.018348624	0
CXXC5	1	109	0.009174312	0
CXXC4	1	109	0.009174312	0
FGD3_ENST00000375482	1	109	0.009174312	0
NPC1L1	2	109	0.018348624	0
SHC1_ENST00000448116	1	109	0.009174312	0
MAGEA8	1	109	0.009174312	0
LPHN2_ENST00000370725	2	109	0.018348624	0
TRPS1_ENST00000395715	2	109	0.018348624	0
NFX1	1	109	0.009174312	0
ASAH1_ENST00000381733	1	109	0.009174312	0
EEA1	3	109	0.027522936	0
GCDH	2	109	0.018348624	0
PCDHA10_ENST00000307360	1	109	0.009174312	0
SEL1L2	1	109	0.009174312	0
NOLC1	1	109	0.009174312	0
MYRIP	1	109	0.009174312	0
THAP2	1	109	0.009174312	0
SNW1	1	109	0.009174312	0
THAP8	2	109	0.018348624	0
YRDC	1	109	0.009174312	0
NAP1L1	1	109	0.009174312	0
ECM1_ENST00000369049	2	109	0.018348624	0
TRIM11	1	109	0.009174312	0
CLEC10A	1	109	0.009174312	0
TRIM50_ENST00000333149	1	109	0.009174312	0
TRIM14	1	109	0.009174312	0
TRIM17	1	109	0.009174312	0
NF1_ENST00000358273	7	109	0.064220183	0
CHI3L1	1	109	0.009174312	0
DFNB31	1	109	0.009174312	0
EIF4G3_ENST00000374937	1	109	0.009174312	0
ASB1	1	109	0.009174312	0
ASB6	3	109	0.027522936	0
HDAC7	1	109	0.009174312	0
ASB4	1	109	0.009174312	0
C2orf53	1	109	0.009174312	0
RFC1_ENST00000381897	1	109	0.009174312	0
PSD_ENST00000020673	1	109	0.009174312	0
BAIAP2_ENST00000321300	3	109	0.027522936	0
CHP	1	109	0.009174312	0
RINT1	1	109	0.009174312	0
OAS1_ENST00000452357	1	109	0.009174312	0
KHNYN	1	109	0.009174312	0
DBH	3	109	0.027522936	0
SORBS2_ENST00000448662	1	109	0.009174312	0
SPINK1	1	109	0.009174312	0
DBP	1	109	0.009174312	0
TMEM47	1	109	0.009174312	0
TAF5L	1	109	0.009174312	0
DLC1_ENST00000316609	1	109	0.009174312	0
GABRB2_ENST00000274547	2	109	0.018348624	0
ASTE1	1	109	0.009174312	0
MED6	1	109	0.009174312	0
PINK1	1	109	0.009174312	0
MNX1	1	109	0.009174312	0
IQSEC2_ENST00000375365	1	109	0.009174312	0
ZGPAT	2	109	0.018348624	0
ZNF609	3	109	0.027522936	0
CAMTA2	1	109	0.009174312	0
PPP1R9A	2	109	0.018348624	0
MTMR11_ENST00000439741	1	109	0.009174312	0
CCDC90B	1	109	0.009174312	0
PLXNA4_ENST00000423507	2	109	0.018348624	0
GCA	1	109	0.009174312	0
AFM	1	109	0.009174312	0
TCF7	1	109	0.009174312	0
EPS8L3	1	109	0.009174312	0
AFP	1	109	0.009174312	0
STK32C	1	109	0.009174312	0
ABTB2	1	109	0.009174312	0
BTC	1	109	0.009174312	0
PROC	1	109	0.009174312	0
ISLR2	1	109	0.009174312	0
RASGRP2	1	109	0.009174312	0
SYNE1_ENST00000423061	11	109	0.100917431	0
CYLC1	1	109	0.009174312	0
ABL1_ENST00000372348	1	109	0.009174312	0
RPS6KB1	1	109	0.009174312	0
SEMA6D_ENST00000558014	4	109	0.036697248	0
RPS6KB2	1	109	0.009174312	0
MRGPRX4	1	109	0.009174312	0
CD36_ENST00000435819	1	109	0.009174312	0
UTP18	1	109	0.009174312	0
GPCPD1	2	109	0.018348624	0
CACNB2_ENST00000377329	2	109	0.018348624	0
SEPHS1	1	109	0.009174312	0
SLMO2	1	109	0.009174312	0
ATXN2L	3	109	0.027522936	0
DGKZ_ENST00000395574	2	109	0.018348624	0
SS18L1_ENST00000331758	1	109	0.009174312	0
XAB2	3	109	0.027522936	0
ETV5_ENST00000306376	3	109	0.027522936	0
ST6GAL1	1	109	0.009174312	0
PRDX5	1	109	0.009174312	0
PCBD1	1	109	0.009174312	0
PRDX3	1	109	0.009174312	0
PRDM13_ENST00000369214	2	109	0.018348624	0
RDH10	1	109	0.009174312	0
CRELD1_ENST00000383811	2	109	0.018348624	0
SYNPO2_ENST00000434046	1	109	0.009174312	0
TBC1D23_ENST00000394144	1	109	0.009174312	0
DCAF6	1	109	0.009174312	0
SMPD1_ENST00000342245	1	109	0.009174312	0
ZFX	2	109	0.018348624	0
EXOC4_ENST00000545148	1	109	0.009174312	0
CD36	1	109	0.009174312	0
CD37	2	109	0.018348624	0
POLR3E	1	109	0.009174312	0
POLR3B	2	109	0.018348624	0
POLR3C	1	109	0.009174312	0
MARS_ENST00000315473	2	109	0.018348624	0
APCDD1	1	109	0.009174312	0
HSPB8_ENST00000281938	1	109	0.009174312	0
POLR3K	2	109	0.018348624	0
MTMR1_ENST00000451863	2	109	0.018348624	0
FAM46B	1	109	0.009174312	0
ATG13_ENST00000528494	1	109	0.009174312	0
PSD2	2	109	0.018348624	0
WDR69	2	109	0.018348624	0
PSD4	1	109	0.009174312	0
TUT1	1	109	0.009174312	0
SLC25A3_ENST00000551917	1	109	0.009174312	0
ASRGL1	2	109	0.018348624	0
COBRA1	2	109	0.018348624	0
C1orf222	1	109	0.009174312	0
HOXD4	1	109	0.009174312	0
PRMT3	1	109	0.009174312	0
HOXD1	1	109	0.009174312	0
R3HDM2	1	109	0.009174312	0
PRMT5	1	109	0.009174312	0
PTPRK_ENST00000368213	2	109	0.018348624	0
TMEM176B	2	109	0.018348624	0
ORMDL3	1	109	0.009174312	0
MASP1	1	109	0.009174312	0
MASP2	2	109	0.018348624	0
ETNK1_ENST00000335148	1	109	0.009174312	0
MLL_ENST00000534358	9	109	0.082568807	0
PKD1L2_ENST00000525539	1	109	0.009174312	0
CD3E	1	109	0.009174312	0
ST3GAL5_ENST00000393808	2	109	0.018348624	0
KIAA0141	4	109	0.036697248	0
CCDC51	1	109	0.009174312	0
SACS_ENST00000382298	5	109	0.04587156	0
HSPG2	4	109	0.036697248	0
TAAR8	1	109	0.009174312	0
CD209	2	109	0.018348624	0
ELF3_ENST00000359651	6	109	0.055045872	0
USP49	1	109	0.009174312	0
USP44	1	109	0.009174312	0
PPARGC1B	1	109	0.009174312	0
PLEKHG2_ENST00000458508	1	109	0.009174312	0
ENOSF1	1	109	0.009174312	0
VPS13C_ENST00000395896	5	109	0.04587156	0
DNHL1	2	109	0.018348624	0
EFCAB3_ENST00000450662	1	109	0.009174312	0
TPM3_ENST00000368530	1	109	0.009174312	0
SCRN3	2	109	0.018348624	0
FGFR1_ENST00000335922	1	109	0.009174312	0
NANOS1	1	109	0.009174312	0
CYP2E1	1	109	0.009174312	0
NPBWR2	1	109	0.009174312	0
RC3H2_ENST00000423239	1	109	0.009174312	0
USP8	2	109	0.018348624	0
ADAMTS10	2	109	0.018348624	0
ADAMTS13	2	109	0.018348624	0
ADAMTS15	1	109	0.009174312	0
ADAMTS17	1	109	0.009174312	0
ADAMTS16	1	109	0.009174312	0
ADAMTS19	1	109	0.009174312	0
ADAMTS18	1	109	0.009174312	0
VDAC1	1	109	0.009174312	0
RPS9	2	109	0.018348624	0
DEF6	1	109	0.009174312	0
DHX57	3	109	0.027522936	0
DEF8	1	109	0.009174312	0
PFKFB3_ENST00000379785	1	109	0.009174312	0
SLC6A19	2	109	0.018348624	0
SLC6A18	1	109	0.009174312	0
SLC6A12	2	109	0.018348624	0
SLC6A11	1	109	0.009174312	0
SLC6A17	1	109	0.009174312	0
SLC6A16	2	109	0.018348624	0
ZSCAN29	2	109	0.018348624	0
HMGCS2	1	109	0.009174312	0
KIAA1324	1	109	0.009174312	0
TIAM1_ENST00000286827	1	109	0.009174312	0
CHRD_ENST00000342610	2	109	0.018348624	0
ADCK3_ENST00000366779	1	109	0.009174312	0
IGSF22	1	109	0.009174312	0
CRTC1_ENST00000338797	1	109	0.009174312	0
RPSA	1	109	0.009174312	0
C14orf93	1	109	0.009174312	0
MAGI1_ENST00000330909	1	109	0.009174312	0
ADRB2	1	109	0.009174312	0
SOX9	1	109	0.009174312	0
MCM3AP	3	109	0.027522936	0
OR2AK2	2	109	0.018348624	0
ALDH1A2	1	109	0.009174312	0
ALDH1A3	1	109	0.009174312	0
PRICKLE4	2	109	0.018348624	0
CCNJL	2	109	0.018348624	0
PCYOX1	4	109	0.036697248	0
RPL21	1	109	0.009174312	0
SLC35B2	1	109	0.009174312	0
ATG7	1	109	0.009174312	0
SLC16A13	1	109	0.009174312	0
EYA1	1	109	0.009174312	0
C9orf24	1	109	0.009174312	0
MPND	1	109	0.009174312	0
HPR	2	109	0.018348624	0
CCDC149_ENST00000504487	1	109	0.009174312	0
STARD8_ENST00000252336	1	109	0.009174312	0
PAOX_ENST00000357296	1	109	0.009174312	0
MZF1	1	109	0.009174312	0
GRB10_ENST00000403097	1	109	0.009174312	0
FAM26E	2	109	0.018348624	0
RSPH6A	1	109	0.009174312	0
HAVCR2	1	109	0.009174312	0
FXYD4	1	109	0.009174312	0
MTBP	2	109	0.018348624	0
FBP1	1	109	0.009174312	0
CREBL2	1	109	0.009174312	0
SUMO1_ENST00000392246	1	109	0.009174312	0
MAFA	1	109	0.009174312	0
MAFB	1	109	0.009174312	0
KDM4C	2	109	0.018348624	0
MED12	1	109	0.009174312	0
DVL1	1	109	0.009174312	0
OR51A7	1	109	0.009174312	0
ABCB6	2	109	0.018348624	0
SLC4A8_ENST00000453097	3	109	0.027522936	0
CYP2A13	1	109	0.009174312	0
CCR10	1	109	0.009174312	0
TSEN54	1	109	0.009174312	0
KRAS	58	1295	0.044787645	0
ADAM2	1	109	0.009174312	0
ACYP2	1	109	0.009174312	0
ACSL3	1	109	0.009174312	0
SCN3A_ENST00000409101	1	109	0.009174312	0
ACSL5	1	109	0.009174312	0
ARPC1B	2	109	0.018348624	0
FTSJD1	2	109	0.018348624	0
KLRC1	1	109	0.009174312	0
TRIM38	1	109	0.009174312	0
HR	1	109	0.009174312	0
RPL7	1	109	0.009174312	0
RPL4	1	109	0.009174312	0
RPL5	2	109	0.018348624	0
USP6_ENST00000250066	2	109	0.018348624	0
PTPRU_ENST00000356870	3	109	0.027522936	0
KREMEN1	1	109	0.009174312	0
CYGB	1	109	0.009174312	0
FAT2	4	109	0.036697248	0
KIAA0825_ENST00000513200	1	109	0.009174312	0
ALAS2_ENST00000396198	1	109	0.009174312	0
ZNF585B	1	109	0.009174312	0
TPP1	1	109	0.009174312	0
IL22RA2	2	109	0.018348624	0
TSC1	21	290	0.072413793	0
RCN3	1	109	0.009174312	0
RCN2	1	109	0.009174312	0
FAM131B_ENST00000443739	2	109	0.018348624	0
PSG9	1	109	0.009174312	0
USP36_ENST00000312010	5	109	0.04587156	0
OR52A4	1	109	0.009174312	0
ANKRD26	2	109	0.018348624	0
COL11A1_ENST00000370096	2	109	0.018348624	0
ACO1	1	109	0.009174312	0
RHOB	3	109	0.027522936	0
BET1L_ENST00000382762	1	109	0.009174312	0
ACO2	1	109	0.009174312	0
RHOG	1	109	0.009174312	0
SUV420H1	3	109	0.027522936	0
ANKRD29	1	109	0.009174312	0
TMEM60	1	109	0.009174312	0
FGFRL1_ENST00000542622	1	109	0.009174312	0
PRKD1_ENST00000331968	1	109	0.009174312	0
ITM2C	1	109	0.009174312	0
ITM2B	1	109	0.009174312	0
DMD_ENST00000378687	5	109	0.04587156	0
DMD_ENST00000378682	3	109	0.027522936	0
LOC442444	2	109	0.018348624	0
PLCB1_ENST00000378641	3	109	0.027522936	0
SMC4	1	109	0.009174312	0
OGFOD1	1	109	0.009174312	0
OGFOD2	1	109	0.009174312	0
ZNF620	1	109	0.009174312	0
ZNF623	2	109	0.018348624	0
TRIM32	1	109	0.009174312	0
S100A9	2	109	0.018348624	0
FSCB	1	109	0.009174312	0
OR1M1	2	109	0.018348624	0
PROX1	2	109	0.018348624	0
FHDC1	2	109	0.018348624	0
RASGRF1	1	109	0.009174312	0
USHBP1	1	109	0.009174312	0
ZNF483	1	109	0.009174312	0
IGFALS	1	109	0.009174312	0
PRM2	1	109	0.009174312	0
ACVR1	1	109	0.009174312	0
PLCL1_ENST00000428675	1	109	0.009174312	0
MTCH1_ENST00000373627	1	109	0.009174312	0
HIST1H2AM	2	109	0.018348624	0
HIST1H2AL	2	109	0.018348624	0
HIST1H2AE	1	109	0.009174312	0
HIST1H2AG	1	109	0.009174312	0
GGT6	2	109	0.018348624	0
HIST1H2AC	1	109	0.009174312	0
HIGD1B	1	109	0.009174312	0
BRD8_ENST00000230901	2	109	0.018348624	0
TRAF3	1	109	0.009174312	0
HOOK2	2	109	0.018348624	0
TMPRSS6	1	109	0.009174312	0
TMPRSS7	2	109	0.018348624	0
ESD	1	109	0.009174312	0
TSC2	1	109	0.009174312	0
ABCC12	3	109	0.027522936	0
ABCC10	4	109	0.036697248	0
CREB3L2_ENST00000456390	1	109	0.009174312	0
LMBR1L_ENST00000267102	1	109	0.009174312	0
PRCP_ENST00000393399	1	109	0.009174312	0
DKC1	1	109	0.009174312	0
TP53_ENST00000269305	39	120	0.325	0
SLC4A1AP	1	109	0.009174312	0
TBC1D10A	1	109	0.009174312	0
MOV10	1	109	0.009174312	0
SCRN3_ENST00000409673	2	109	0.018348624	0
MOCS3	2	109	0.018348624	0
GRIA1_ENST00000544403	1	109	0.009174312	0
COMMD8	1	109	0.009174312	0
COMMD2	1	109	0.009174312	0
METTL19	1	109	0.009174312	0
PIM2_ENST00000376509	1	109	0.009174312	0
METTL12	1	109	0.009174312	0
METTL13	2	109	0.018348624	0
METTL10	1	109	0.009174312	0
NPR1	1	109	0.009174312	0
ZMYM5	1	109	0.009174312	0
RIMS2_ENST00000436393	2	109	0.018348624	0
TMEM184A	1	109	0.009174312	0
KAZALD1	1	109	0.009174312	0
RNASE11	1	109	0.009174312	0
RNASE10	1	109	0.009174312	0
ZSCAN18	1	109	0.009174312	0
OR5A2	1	109	0.009174312	0
OR5A1	2	109	0.018348624	0
CD1E	1	109	0.009174312	0
ANO9	1	109	0.009174312	0
CATSPERG_ENST00000409235	2	109	0.018348624	0
ANO6	1	109	0.009174312	0
C9orf50	1	109	0.009174312	0
CELF3	2	109	0.018348624	0
POLR1A	2	109	0.018348624	0
POLR1C	1	109	0.009174312	0
ANTXR1_ENST00000409349	1	109	0.009174312	0
POLR1E	1	109	0.009174312	0
COL3A1	4	109	0.036697248	0
ANAPC7_ENST00000455511	1	109	0.009174312	0
HIP1R	2	109	0.018348624	0
WDR41	1	109	0.009174312	0
DUS1L	1	109	0.009174312	0
WDR48	2	109	0.018348624	0
USP54	1	109	0.009174312	0
FLT4_ENST00000261937	2	109	0.018348624	0
JAK3	1	109	0.009174312	0
EPHA8_ENST00000374644	2	109	0.018348624	0
JAK1	3	158	0.018987342	0
GRM4	3	109	0.027522936	0
GRM5	1	109	0.009174312	0
HOXB8	1	109	0.009174312	0
HOXB1	2	109	0.018348624	0
HOXB6	1	109	0.009174312	0
CHUK	1	109	0.009174312	0
PPARG	2	109	0.018348624	0
PPARD	1	109	0.009174312	0
ATP6V1H_ENST00000359530	2	109	0.018348624	0
SPDEF	1	109	0.009174312	0
CD14	1	109	0.009174312	0
MPP2	2	109	0.018348624	0
CTAG2	1	109	0.009174312	0
KCNC4_ENST00000438661	2	109	0.018348624	0
WFDC1	1	109	0.009174312	0
MKRN3	1	109	0.009174312	0
DYRK2	1	109	0.009174312	0
DYRK4	1	109	0.009174312	0
LHFPL1	1	109	0.009174312	0
SGIP1_ENST00000435165	1	109	0.009174312	0
PTX3	1	109	0.009174312	0
NR2F2	1	109	0.009174312	0
DDB2	1	109	0.009174312	0
KIF21A	3	109	0.027522936	0
RIMS1	1	109	0.009174312	0
KIF21B	3	109	0.027522936	0
OR4F15	1	109	0.009174312	0
GRM1_ENST00000392299	1	109	0.009174312	0
OR4C46	1	109	0.009174312	0
GRID2	1	109	0.009174312	0
MCAM	1	109	0.009174312	0
ST7L	1	109	0.009174312	0
CYP2C9	1	109	0.009174312	0
APOBEC3H	1	109	0.009174312	0
APOBEC3G	1	109	0.009174312	0
APOBEC3F	1	109	0.009174312	0
EMX2	1	109	0.009174312	0
APOBEC3B	1	109	0.009174312	0
C10orf68	1	109	0.009174312	0
PRKD3	1	109	0.009174312	0
CTTN	2	109	0.018348624	0
SIRPG	2	109	0.018348624	0
NARG2	1	109	0.009174312	0
FAM109B	1	109	0.009174312	0
NTRK1_ENST00000392302	2	109	0.018348624	0
FLJ20273	2	109	0.018348624	0
GIPR	1	109	0.009174312	0
EIF2S1	1	109	0.009174312	0
EIF2S3	1	109	0.009174312	0
LPIN2	1	109	0.009174312	0
LPIN3	2	109	0.018348624	0
ARFGAP1_ENST00000370275	1	109	0.009174312	0
PI4K2A_ENST00000555577	1	109	0.009174312	0
KLF6	1	109	0.009174312	0
KLF5	2	109	0.018348624	0
KLF4	1	109	0.009174312	0
ALPK3_ENST00000258888	1	109	0.009174312	0
PPP1CA_ENST00000451458	1	109	0.009174312	0
EXTL2	1	109	0.009174312	0
KLF9	1	109	0.009174312	0
TMEM225	2	109	0.018348624	0
HEATR2	2	109	0.018348624	0
HEATR3	2	109	0.018348624	0
HEATR8	2	109	0.018348624	0
GANC	1	109	0.009174312	0
SFSWAP	2	109	0.018348624	0
KLHDC7A	3	109	0.027522936	0
TSHR_ENST00000554435	1	109	0.009174312	0
ALS2CR11_ENST00000439140	3	109	0.027522936	0
SETBP1_ENST00000426838	1	109	0.009174312	0
VPS25	1	109	0.009174312	0
ARHGEF18_ENST00000359920	2	109	0.018348624	0
MAP3K10	1	109	0.009174312	0
ZNF544	1	109	0.009174312	0
MAP3K12	1	109	0.009174312	0
ZNF540	2	109	0.018348624	0
CYP11B2	1	109	0.009174312	0
CYP11B1	2	109	0.018348624	0
SLC1A7	1	109	0.009174312	0
ARHGEF10L_ENST00000375408	2	109	0.018348624	0
MAP2K5_ENST00000178640	1	109	0.009174312	0
ATP13A4	2	109	0.018348624	0
OSBPL1A	2	109	0.018348624	0
GNL3	2	109	0.018348624	0
GNL2	2	109	0.018348624	0
FAM163A	2	109	0.018348624	0
CDH18_ENST00000507958	1	109	0.009174312	0
MAP3K6_ENST00000493901	2	109	0.018348624	0
DYRK1A	2	109	0.018348624	0
SCN1A_ENST00000303395	1	109	0.009174312	0
SLC7A1	1	109	0.009174312	0
MYT1	3	109	0.027522936	0
JAKMIP2	1	109	0.009174312	0
TPO	4	109	0.036697248	0
DPYD_ENST00000306031	1	109	0.009174312	0
BAZ1A	3	109	0.027522936	0
BAZ1B	1	109	0.009174312	0
NMT2	2	109	0.018348624	0
KITLG	1	109	0.009174312	0
HRC	3	109	0.027522936	0
OSBPL10	1	109	0.009174312	0
ASCC3_ENST00000369143	1	109	0.009174312	0
SLC2A9	1	109	0.009174312	0
SLC2A8	1	109	0.009174312	0
KRTAP9-1_ENST00000398470	1	109	0.009174312	0
SLC2A4	1	109	0.009174312	0
SLC2A2	1	109	0.009174312	0
DGKI_ENST00000288490	1	109	0.009174312	0
PLAGL2	1	109	0.009174312	0
PLAGL1	1	109	0.009174312	0
VANGL2	2	109	0.018348624	0
ATRIP	1	109	0.009174312	0
CEACAM5	2	109	0.018348624	0
OR51G1	2	109	0.018348624	0
ENG	1	109	0.009174312	0
ACVR2B_ENST00000352511	3	109	0.027522936	0
GTF2IRD1	2	109	0.018348624	0
HDAC11	1	109	0.009174312	0
CABP1_ENST00000288616	1	109	0.009174312	0
TMEM132A_ENST00000005286	1	109	0.009174312	0
F10	1	109	0.009174312	0
EXOG	2	109	0.018348624	0
EPAS1	1	109	0.009174312	0
IQUB	1	109	0.009174312	0
CREBBP	16	123	0.130081301	0
RAPGEF6	1	109	0.009174312	0
TRNAU1AP	1	109	0.009174312	0
NLRP4_ENST00000301295	1	109	0.009174312	0
MOCOS	1	109	0.009174312	0
CYP4B1	1	109	0.009174312	0
GPR75	2	109	0.018348624	0
RFPL3	1	109	0.009174312	0
FAM81B	1	109	0.009174312	0
TIGD6	1	109	0.009174312	0
FLT4	2	109	0.018348624	0
PODN	1	109	0.009174312	0
GSG1L	1	109	0.009174312	0
KIAA1958	4	109	0.036697248	0
OXSM	1	109	0.009174312	0
SUGP1	2	109	0.018348624	0
COL25A1	2	109	0.018348624	0
CLU	1	109	0.009174312	0
SKIV2L2	1	109	0.009174312	0
NRARP	1	109	0.009174312	0
COBL	2	109	0.018348624	0
AMOTL2	1	109	0.009174312	0
BPI	1	109	0.009174312	0
SF3B4	1	109	0.009174312	0
PNPT1	1	109	0.009174312	0
LCN8	1	109	0.009174312	0
NEDD9_ENST00000504387	1	109	0.009174312	0
ALOX15	1	109	0.009174312	0
ALOX12	1	109	0.009174312	0
PRKX	1	109	0.009174312	0
SEMA6C	2	109	0.018348624	0
PCQAP	2	109	0.018348624	0
ELAC1	1	109	0.009174312	0
ELAC2	2	109	0.018348624	0
ADCK2	1	109	0.009174312	0
ADCK3	1	109	0.009174312	0
DNAJC16	1	109	0.009174312	0
CENPE_ENST00000265148	4	109	0.036697248	0
DNAJC14	1	109	0.009174312	0
DNAJC12	1	109	0.009174312	0
DNAJC11	1	109	0.009174312	0
RLIM	1	109	0.009174312	0
PPP1R13B	1	109	0.009174312	0
EDF1	1	109	0.009174312	0
ERBB4_ENST00000402597	3	109	0.027522936	0
SLFN12	1	109	0.009174312	0
METTL21A	1	109	0.009174312	0
LMAN2	1	109	0.009174312	0
ATP2A3_ENST00000352011	4	109	0.036697248	0
PFKFB4	2	109	0.018348624	0
KCNH2_ENST00000430723	1	109	0.009174312	0
CTNS_ENST00000381870	1	109	0.009174312	0
IQCC_ENST00000537469	1	109	0.009174312	0
REPIN1_ENST00000489432	1	109	0.009174312	0
ACTG1	2	109	0.018348624	0
PPP4R4	3	109	0.027522936	0
PKD2L2	1	109	0.009174312	0
PKD2L1	1	109	0.009174312	0
MAP3K8	1	109	0.009174312	0
FAM188A_ENST00000436829	1	109	0.009174312	0
MAP3K4	1	109	0.009174312	0
MARVELD3	1	109	0.009174312	0
PET112	2	109	0.018348624	0
NUP214	1	109	0.009174312	0
NUP210	3	109	0.027522936	0
KIAA0319L	1	109	0.009174312	0
ZNF202	3	109	0.027522936	0
CASZ1	2	109	0.018348624	0
IDH2	3	123	0.024390244	0
IDH1	1	143	0.006993007	0
EVX1	1	109	0.009174312	0
RPS20_ENST00000519807	1	109	0.009174312	0
SURF1	1	109	0.009174312	0
KIAA1797	2	109	0.018348624	0
PRSS23	1	109	0.009174312	0
LXN	1	109	0.009174312	0
EME1	2	109	0.018348624	0
SLC13A2_ENST00000444914	1	109	0.009174312	0
AKNA	2	109	0.018348624	0
DUOX1	2	109	0.018348624	0
DUOX2	2	109	0.018348624	0
MARK4	2	109	0.018348624	0
NGEF_ENST00000264051	1	109	0.009174312	0
CSMD3_ENST00000343508	9	109	0.082568807	0
KRTAP4-5	6	109	0.055045872	0
ANKRD53_ENST00000360589	1	109	0.009174312	0
NPPB	1	109	0.009174312	0
SYTL2_ENST00000316356	1	109	0.009174312	0
GBP7	1	109	0.009174312	0
BPTF_ENST00000335221	1	109	0.009174312	0
SYCE1_ENST00000343131	1	109	0.009174312	0
TP53	552	1330	0.415037594	0
DDX26B_ENST00000370752	1	109	0.009174312	0
MOGS	2	109	0.018348624	0
ST8SIA4	1	109	0.009174312	0
C6orf170	1	109	0.009174312	0
STX1A	1	109	0.009174312	0
LATS1_ENST00000253339	2	109	0.018348624	0
TMEM47_ENST00000275954	1	109	0.009174312	0
ALS2CR11	3	109	0.027522936	0
ALS2CR12	1	109	0.009174312	0
TINAG_ENST00000370869	1	109	0.009174312	0
NSMAF	2	109	0.018348624	0
BTBD16	4	109	0.036697248	0
NLRX1	3	109	0.027522936	0
BTBD10	1	109	0.009174312	0
SIK1	3	109	0.027522936	0
CTDNEP1	1	109	0.009174312	0
SIK2	2	109	0.018348624	0
COL9A1_ENST00000320755	3	109	0.027522936	0
MARK2_ENST00000402010	2	109	0.018348624	0
KRT83	1	109	0.009174312	0
KRT86	1	109	0.009174312	0
SUCLG2_ENST00000307227	1	109	0.009174312	0
ZNF365_ENST00000410046	1	109	0.009174312	0
JUNB	1	109	0.009174312	0
WAC	1	109	0.009174312	0
SYNE1_ENST00000265368	11	109	0.100917431	0
